category,current_stock,avg_weekly_sales,lead_time_days,month,recommended_order_qty
Electronique,54,4.24,7,7,0
Alimentaire,9,54.77,6,4,39
Outillage,377,8.3,15,7,0
Electronique,205,84.14,12,12,38
Outillage,160,84.45,19,5,205
Textile,371,50.05,14,2,1
Alimentaire,89,56.26,11,8,76
Outillage,161,27.69,7,10,0
Outillage,338,7.63,7,12,0
Electronique,252,66.9,19,7,74
Electronique,159,10.96,8,10,0
Textile,102,9.53,14,4,0
Outillage,14,29.39,21,6,95
Electronique,34,3.1,22,6,9
Textile,64,40.2,9,4,14
Electronique,314,64.28,6,9,0
Textile,255,72.52,20,11,118
Textile,173,55.18,18,4,118
Electronique,313,76.52,10,2,12
Textile,64,37.77,16,10,77
Outillage,84,76.69,7,11,53
Outillage,157,46.57,18,12,82
Electronique,366,21.63,19,4,0
Electronique,245,85.08,10,9,18
Electronique,340,26.2,13,9,0
Alimentaire,99,4.31,11,10,0
Electronique,339,23.36,4,10,0
Outillage,28,34.27,6,12,31
Outillage,91,32.92,24,6,88
Outillage,209,48.17,13,1,17
Electronique,20,79.72,7,3,62
Electronique,343,27.73,4,11,0
Outillage,346,47.83,11,11,0
Alimentaire,216,31.93,24,1,34
Textile,122,74.32,12,5,86
Outillage,39,15.87,24,3,14
Electronique,247,11.11,14,4,0
Electronique,215,46.26,20,8,38
Electronique,303,61.13,20,7,43
Electronique,241,72.01,4,6,0
Electronique,51,53.89,4,6,0
Outillage,48,70.1,23,8,210
Textile,312,36.56,23,9,41
Outillage,63,4.89,6,1,2
Outillage,375,12.22,17,2,0
Outillage,42,5.41,23,5,0
Electronique,291,30.95,23,6,0
Alimentaire,390,45.6,10,12,0
Outillage,176,33.36,21,11,22
Electronique,22,51.33,17,8,90
Electronique,350,44.29,23,1,15
Textile,74,61.66,7,2,38
Outillage,210,60.69,16,6,74
Outillage,393,29.99,4,8,0
Outillage,297,32.47,11,8,0
Electronique,18,53.49,4,2,22
Outillage,328,54.49,13,11,0
Outillage,64,29.69,21,6,100
Textile,299,31.07,17,8,0
Outillage,248,63.08,10,1,0
Outillage,115,58.97,12,10,61
Alimentaire,169,13.88,11,7,0
Electronique,47,40.81,19,3,95
Alimentaire,394,80.56,9,4,0
Electronique,95,5.19,5,5,2
Electronique,123,77.25,14,1,90
Electronique,201,16.36,21,12,0
Textile,268,46.64,14,10,0
Textile,202,39.34,8,11,0
Textile,202,2.89,4,5,0
Textile,233,82.55,23,7,189
Textile,343,42.03,19,6,0
Textile,158,85.98,7,6,51
Electronique,332,27.23,5,8,0
Outillage,314,78.23,6,6,0
Alimentaire,384,83.17,11,10,0
Electronique,365,51.0,21,1,5
Outillage,319,19.84,7,3,0
Textile,98,62.3,21,11,152
Electronique,309,50.31,4,11,0
Electronique,294,85.12,19,10,110
Electronique,115,40.66,9,5,0
Alimentaire,271,25.63,24,6,27
Electronique,101,14.17,13,1,0
Textile,209,63.48,9,4,0
Textile,318,87.72,9,9,0
Outillage,75,4.49,21,5,0
Textile,134,67.16,12,6,91
Textile,318,83.57,11,2,29
Textile,181,8.58,19,6,0
Electronique,384,11.69,15,9,0
Electronique,3,62.89,17,7,120
Textile,288,59.02,13,7,0
Electronique,325,8.06,5,11,0
Electronique,367,75.43,4,3,0
Electronique,62,48.06,4,4,0
Outillage,393,81.83,16,8,52
Alimentaire,156,79.26,14,6,132
Textile,140,73.5,19,12,128
Alimentaire,142,47.4,22,1,113
Electronique,255,24.15,7,2,0
Alimentaire,263,46.53,24,5,126
Electronique,189,10.87,23,6,0
Outillage,28,59.98,16,11,114
Electronique,394,13.79,15,6,0
Alimentaire,88,46.98,7,6,0
Outillage,37,6.79,7,3,0
Textile,238,28.36,4,6,0
Alimentaire,164,22.42,17,7,9
Textile,246,56.56,13,8,10
Outillage,350,71.24,8,8,0
Alimentaire,38,7.04,6,6,0
Textile,113,76.82,5,2,16
Outillage,206,77.75,17,2,124
Textile,315,32.12,18,2,0
Alimentaire,240,59.99,17,8,72
Electronique,153,37.43,6,11,0
Electronique,244,15.57,4,11,0
Outillage,391,48.52,6,4,0
Textile,192,9.6,19,1,0
Alimentaire,353,79.31,19,8,108
Alimentaire,311,83.34,10,1,56
Textile,120,74.3,5,8,10
Textile,99,51.5,10,5,34
Textile,308,51.07,21,11,43
Alimentaire,82,88.65,7,8,43
Textile,134,23.82,20,9,39
Alimentaire,94,8.68,13,5,0
Outillage,242,51.45,6,11,0
Electronique,117,30.93,23,7,49
Electronique,263,30.37,14,8,0
Alimentaire,373,2.62,18,5,0
Textile,331,54.47,6,6,0
Textile,379,25.23,11,11,0
Alimentaire,9,18.53,17,5,60
Outillage,182,5.56,17,1,0
Alimentaire,88,34.06,5,5,1
Electronique,367,79.35,16,5,56
Electronique,284,31.63,23,6,0
Outillage,128,61.76,20,1,143
Electronique,225,68.58,8,2,0
Outillage,242,30.87,23,4,26
Alimentaire,198,74.3,18,6,145
Electronique,189,62.89,5,1,0
Alimentaire,22,51.21,6,5,68
Textile,180,2.09,23,4,0
Alimentaire,139,5.09,8,1,0
Outillage,327,89.2,6,4,0
Textile,346,70.84,13,4,28
Alimentaire,300,84.51,15,2,120
Textile,12,81.4,16,10,219
Outillage,336,3.8,17,1,0
Alimentaire,158,71.68,24,7,229
Electronique,166,41.7,19,8,36
Alimentaire,378,71.48,4,10,0
Outillage,346,2.59,5,7,0
Electronique,20,27.36,4,7,20
Outillage,143,68.12,12,10,66
Textile,299,71.79,11,11,11
Textile,215,56.53,23,3,122
Alimentaire,103,28.51,11,10,4
Outillage,209,29.31,4,6,0
Electronique,346,87.08,22,2,170
Alimentaire,89,40.65,9,8,38
Alimentaire,298,41.35,23,12,30
Alimentaire,293,50.61,20,2,84
Alimentaire,354,38.04,22,1,4
Electronique,119,50.64,21,11,105
Electronique,86,40.05,7,8,2
Electronique,219,74.75,17,3,138
Textile,212,82.0,12,10,49
Alimentaire,163,84.03,17,5,184
Textile,311,51.66,19,4,52
Textile,319,40.91,14,4,0
Textile,98,64.06,10,8,50
Textile,318,75.77,23,2,150
Textile,92,51.54,17,5,89
Textile,163,63.6,22,4,149
Textile,10,67.98,8,1,97
Textile,136,61.52,21,10,113
Alimentaire,383,67.66,10,1,0
Electronique,177,20.36,13,12,0
Outillage,284,45.86,22,2,30
Alimentaire,43,53.77,11,5,93
Textile,254,2.22,9,2,0
Electronique,148,77.32,23,5,211
Alimentaire,297,55.68,24,8,86
Textile,371,13.36,10,2,0
Textile,212,73.84,10,7,4
Textile,41,65.1,8,10,57
Alimentaire,190,68.73,4,6,0
Outillage,49,36.5,15,2,52
Textile,179,77.17,9,9,18
Outillage,24,38.43,21,3,124
Textile,256,52.2,7,1,0
Textile,124,2.06,17,6,0
Outillage,80,58.75,14,4,134
Electronique,6,65.2,16,1,155
Outillage,355,51.91,6,10,0
Outillage,334,45.7,13,8,0
Textile,324,73.27,17,11,24
Textile,23,61.96,11,6,101
Textile,139,26.47,22,6,24
Alimentaire,388,86.4,15,11,73
Outillage,231,64.24,11,1,20
Electronique,51,88.94,4,5,37
Alimentaire,56,87.47,7,10,58
Textile,105,82.86,14,4,156
Outillage,388,68.47,12,11,0
Alimentaire,67,55.63,22,4,226
Alimentaire,361,17.15,20,5,0
Electronique,271,49.81,7,11,0
Electronique,368,69.35,16,3,57
Electronique,330,47.84,13,12,0
Electronique,132,78.41,6,1,41
Outillage,331,11.65,17,4,0
Outillage,67,35.52,15,8,19
Outillage,116,46.52,5,8,17
Electronique,84,40.04,13,11,59
Electronique,53,11.56,19,12,11
Alimentaire,36,15.51,10,9,0
Textile,74,75.71,11,8,74
Alimentaire,48,44.63,6,4,0
Alimentaire,152,6.29,8,10,0
Electronique,28,3.45,24,8,0
Textile,24,43.67,17,1,107
Alimentaire,395,16.47,7,10,0
Electronique,35,64.05,14,5,89
Textile,29,71.99,8,6,76
Outillage,12,22.09,13,6,31
Electronique,53,54.11,7,10,44
Alimentaire,211,15.59,16,4,0
Outillage,330,28.72,15,5,0
Textile,293,80.21,17,1,57
Outillage,232,49.88,13,5,0
Alimentaire,34,79.96,10,2,157
Alimentaire,309,21.82,9,7,0
Textile,14,31.04,8,11,31
Electronique,252,43.44,13,6,0
Electronique,163,44.25,13,11,13
Textile,352,89.79,18,12,123
Textile,123,12.07,5,1,0
Electronique,255,76.97,9,7,5
Textile,175,78.0,21,7,163
Alimentaire,208,50.68,23,5,111
Textile,375,32.28,23,10,0
Outillage,285,47.69,10,5,0
Electronique,165,27.74,6,1,0
Outillage,178,72.32,8,7,25
Alimentaire,281,45.85,6,3,0
Outillage,138,83.47,24,5,252
Alimentaire,67,56.8,22,7,193
Alimentaire,187,47.26,21,9,78
Outillage,27,64.57,19,4,195
Textile,67,46.35,11,5,20
Electronique,168,81.6,13,1,82
Textile,318,18.23,21,5,0
Outillage,312,87.65,21,7,178
Alimentaire,104,73.47,14,8,81
Outillage,168,77.74,21,4,189
Textile,61,44.5,11,1,78
Alimentaire,302,75.67,12,7,20
Electronique,98,29.0,21,8,39
Textile,319,69.05,11,2,10
Electronique,336,14.36,19,7,0
Outillage,275,29.02,13,2,0
Textile,132,41.22,10,6,21
Alimentaire,381,30.36,8,8,0
Electronique,274,36.06,16,9,0
Textile,258,74.17,14,9,33
Electronique,342,24.59,11,10,0
Alimentaire,352,67.58,19,3,78
Outillage,31,8.49,4,11,3
Outillage,352,69.39,5,5,0
Outillage,306,71.7,24,5,136
Outillage,82,37.35,17,10,65
Textile,123,65.58,15,4,87
Electronique,301,82.53,4,1,0
Outillage,86,72.46,16,9,114
Outillage,180,36.36,13,8,21
Outillage,275,44.61,16,7,0
Textile,260,70.58,4,2,0
Electronique,363,27.75,15,8,0
Textile,44,72.74,16,3,178
Alimentaire,118,30.87,10,7,8
Outillage,393,72.93,5,7,0
Alimentaire,227,9.64,24,10,0
Alimentaire,99,5.91,18,12,0
Electronique,115,89.8,17,3,198
Outillage,135,78.51,20,2,205
Outillage,221,79.69,18,7,105
Electronique,113,85.71,6,12,14
Alimentaire,248,40.57,13,2,15
Alimentaire,178,27.24,22,6,28
Alimentaire,244,13.44,10,5,0
Outillage,62,46.11,24,4,144
Electronique,249,21.36,5,8,0
Alimentaire,369,84.33,10,4,23
Electronique,54,2.35,11,6,0
Electronique,130,14.6,16,11,0
Outillage,277,23.69,7,5,0
Outillage,246,19.51,8,1,0
Electronique,269,21.87,17,11,0
Textile,223,59.73,9,4,14
Electronique,273,30.82,22,10,0
Electronique,243,56.12,22,10,73
Alimentaire,29,80.34,10,7,144
Electronique,300,55.02,15,2,36
Alimentaire,178,63.12,10,12,40
Outillage,20,34.16,11,9,46
Textile,163,16.06,18,6,0
Textile,174,30.21,10,11,0
Alimentaire,34,86.86,7,10,84
Electronique,398,56.72,9,10,0
Electronique,88,26.42,23,3,72
Alimentaire,132,41.68,9,8,0
Electronique,176,75.53,11,4,77
Outillage,333,60.82,17,1,35
Outillage,297,51.34,6,5,0
Outillage,308,79.89,9,2,26
Textile,94,61.17,7,2,59
Textile,338,58.56,23,9,63
Textile,331,18.7,23,7,0
Alimentaire,185,11.36,19,5,0
Textile,218,86.93,9,3,70
Outillage,14,54.7,16,10,125
Outillage,304,38.58,17,8,0
Textile,384,53.83,22,8,59
Electronique,189,7.44,7,3,0
Textile,216,74.35,19,2,131
Alimentaire,199,21.06,8,2,0
Textile,33,72.8,15,1,160
Textile,247,49.03,22,12,63
Outillage,288,26.34,5,5,0
Alimentaire,371,4.66,7,8,0
Outillage,371,73.79,21,12,81
Outillage,196,17.53,4,12,0
Alimentaire,383,6.56,18,4,0
Alimentaire,211,68.52,14,6,70
Textile,256,32.8,11,6,0
Outillage,240,36.26,22,1,10
Textile,399,23.74,21,10,0
Outillage,295,77.61,10,7,16
Alimentaire,48,28.16,4,5,13
Textile,28,20.5,6,7,0
Alimentaire,163,29.21,6,9,0
Outillage,206,19.88,24,1,0
Alimentaire,267,29.95,16,8,0
Textile,192,9.3,18,11,0
Electronique,205,15.95,8,9,0
Outillage,368,38.7,21,8,0
Alimentaire,133,79.39,19,2,239
Alimentaire,197,7.04,19,9,0
Textile,222,20.72,13,10,0
Alimentaire,187,81.93,18,6,174
Outillage,387,80.32,15,7,67
Textile,384,61.79,12,8,0
Textile,205,23.16,16,2,0
Electronique,180,38.94,10,4,0
Electronique,235,20.59,24,10,0
Alimentaire,72,13.32,19,12,19
Outillage,170,35.44,19,4,64
Outillage,86,52.67,19,5,120
Textile,57,33.67,13,11,63
Textile,38,55.75,23,2,180
Alimentaire,234,28.07,8,4,0
Electronique,0,32.43,15,1,57
Electronique,258,71.58,5,3,0
Alimentaire,172,79.29,10,8,63
Alimentaire,146,30.34,16,5,67
Electronique,307,52.29,14,12,0
Alimentaire,215,26.48,23,11,31
Electronique,293,6.69,16,11,0
Textile,283,66.93,12,9,2
Outillage,12,17.05,12,9,40
Textile,86,39.46,16,7,93
Alimentaire,227,44.86,20,12,91
Alimentaire,390,18.23,9,2,0
Alimentaire,61,10.32,16,9,4
Electronique,42,32.63,16,2,65
Textile,376,85.8,4,5,0
Textile,386,56.13,23,4,36
Electronique,66,35.56,15,8,24
Alimentaire,160,5.42,9,10,0
Alimentaire,250,54.82,17,1,62
Electronique,78,10.12,18,8,0
Textile,130,49.74,23,3,130
Textile,158,68.17,4,1,0
Textile,256,39.28,12,6,0
Textile,123,28.35,7,7,0
Outillage,164,6.17,16,3,0
Outillage,115,4.18,14,5,0
Textile,303,39.84,13,12,0
Outillage,61,79.73,24,5,229
Alimentaire,92,23.48,15,12,0
Outillage,99,52.52,12,11,52
Outillage,362,62.22,5,5,0
Textile,377,7.35,10,7,0
Outillage,200,15.47,22,9,0
Textile,62,31.15,13,6,20
Textile,302,60.97,23,5,103
Alimentaire,196,40.64,15,4,28
Outillage,339,66.61,15,2,62
Textile,143,78.35,13,1,95
Outillage,399,68.74,15,5,13
Alimentaire,322,89.32,5,10,0
Outillage,89,68.38,5,3,18
Electronique,290,76.99,13,3,55
Electronique,114,75.25,16,4,146
Textile,139,66.26,15,8,97
Textile,100,72.56,13,3,116
Outillage,272,84.25,10,3,38
Alimentaire,105,43.82,18,2,100
Textile,255,58.17,16,4,43
Textile,232,47.31,4,3,0
Outillage,300,76.89,13,10,64
Textile,397,39.96,18,11,0
Alimentaire,3,74.14,20,5,251
Outillage,396,72.34,10,2,0
Electronique,43,86.65,23,2,259
Outillage,210,23.91,17,4,0
Electronique,136,64.45,13,6,83
Alimentaire,255,68.61,17,7,117
Outillage,288,84.39,22,4,169
Textile,343,81.81,8,5,0
Outillage,160,52.47,7,4,39
Textile,373,52.97,13,7,0
Textile,128,16.72,5,9,0
Alimentaire,81,87.8,21,1,282
Electronique,151,24.44,24,6,31
Electronique,211,65.78,16,8,54
Alimentaire,267,72.03,24,9,178
Electronique,333,40.83,5,7,0
Textile,89,20.59,17,7,0
Outillage,121,18.63,13,9,0
Outillage,375,77.37,9,5,0
Alimentaire,175,46.95,10,7,9
Outillage,96,9.93,15,4,0
Outillage,394,65.1,17,6,38
Outillage,179,24.02,7,2,0
Alimentaire,394,79.12,16,5,65
Alimentaire,367,29.24,23,2,0
Outillage,362,19.62,4,3,0
Electronique,232,9.47,22,6,0
Alimentaire,319,47.01,16,7,6
Electronique,384,41.66,11,12,0
Outillage,107,68.12,19,1,137
Textile,15,42.89,16,11,76
Electronique,128,32.26,20,4,30
Electronique,254,25.03,5,9,0
Textile,218,26.48,5,9,0
Textile,32,83.65,17,12,174
Outillage,224,16.53,10,2,0
Alimentaire,69,88.96,9,12,111
Outillage,202,30.77,12,1,0
Alimentaire,230,9.78,19,11,0
Outillage,254,23.88,7,8,0
Electronique,165,7.14,24,6,0
Electronique,163,71.52,12,5,32
Electronique,271,47.1,7,2,0
Alimentaire,299,31.65,5,10,0
Outillage,323,60.26,22,9,40
Electronique,133,57.5,6,12,0
Alimentaire,169,84.71,12,9,113
Electronique,132,86.59,18,12,176
Outillage,211,61.9,14,11,32
Textile,50,73.97,9,6,90
Outillage,172,71.73,6,9,0
Textile,75,45.23,18,4,85
Textile,212,63.99,14,10,30
Outillage,340,8.89,5,8,0
Electronique,394,68.71,7,6,0
Outillage,178,86.64,15,8,108
Textile,22,9.48,7,4,0
Textile,91,75.58,12,8,89
Alimentaire,41,84.1,6,6,76
Outillage,303,21.9,20,4,0
Alimentaire,393,48.18,17,12,0
Electronique,221,83.65,20,1,166
Outillage,70,86.5,5,10,48
Electronique,8,13.25,11,3,9
Electronique,390,32.71,9,3,0
Textile,126,63.44,17,2,142
Electronique,44,21.5,21,2,30
Outillage,70,30.58,8,2,45
Alimentaire,102,4.05,20,10,0
Electronique,262,15.51,16,12,0
Outillage,356,51.48,21,8,2
Textile,110,59.47,5,1,45
Alimentaire,274,59.1,24,11,113
Textile,25,70.5,13,8,104
Textile,4,38.54,9,7,40
Electronique,21,26.07,7,12,19
Outillage,369,3.37,24,5,0
Alimentaire,232,20.18,22,5,0
Textile,322,29.49,6,10,0
Outillage,8,17.68,13,7,30
Textile,8,3.77,19,9,7
Textile,339,15.86,16,9,0
Alimentaire,41,60.62,7,11,74
Electronique,62,57.4,11,4,67
Alimentaire,207,84.34,11,1,97
Outillage,242,72.24,10,6,0
Textile,91,51.96,24,8,148
Alimentaire,177,14.1,8,10,0
Outillage,269,51.64,18,4,27
Outillage,177,7.42,23,9,0
Outillage,153,39.92,20,10,78
Alimentaire,28,36.34,20,10,102
Textile,180,39.65,7,10,1
Textile,321,26.62,6,12,0
Alimentaire,250,62.35,20,8,117
Alimentaire,357,76.0,19,5,104
Electronique,50,69.63,19,6,166
Alimentaire,4,57.24,12,9,104
Textile,219,49.37,14,3,42
Outillage,71,4.74,4,8,0
Outillage,237,65.62,10,7,0
Electronique,361,49.96,15,8,0
Textile,134,25.83,6,6,6
Electronique,219,30.85,6,9,0
Textile,272,84.33,4,1,0
Alimentaire,60,56.94,8,9,55
Alimentaire,358,43.88,24,10,26
Textile,81,56.64,18,11,109
Alimentaire,323,38.41,23,12,38
Outillage,263,43.38,9,5,0
Textile,56,27.55,16,1,41
Outillage,289,40.71,22,8,16
Textile,78,62.33,11,2,104
Alimentaire,239,5.51,17,4,0
Outillage,383,71.96,18,9,14
Alimentaire,381,26.9,21,8,0
Textile,348,62.07,24,8,79
Electronique,197,58.56,16,10,29
Electronique,223,59.43,16,2,32
Textile,120,55.52,22,10,132
Electronique,368,86.4,18,8,80
Outillage,190,46.73,11,6,0
Outillage,308,66.44,17,6,59
Textile,143,64.08,15,7,85
Textile,296,22.79,8,7,0
Textile,89,26.93,14,5,36
Electronique,293,39.31,17,3,0
Alimentaire,18,26.44,22,3,90
Alimentaire,41,34.27,16,5,86
Outillage,140,36.4,7,4,0
Electronique,192,55.14,24,7,106
Alimentaire,284,21.35,16,11,0
Alimentaire,143,72.78,10,2,76
Electronique,7,40.5,19,4,136
Electronique,130,64.15,12,1,83
Alimentaire,175,9.17,11,12,0
Electronique,217,43.36,21,9,34
Electronique,257,4.48,22,3,0
Alimentaire,99,61.48,15,5,113
Electronique,244,32.25,11,9,0
Textile,252,85.53,22,12,185
Electronique,310,30.52,7,7,0
Alimentaire,208,51.61,19,4,108
Alimentaire,324,24.65,16,9,0
Outillage,88,56.57,21,9,125
Textile,284,43.1,12,8,10
Outillage,18,34.62,21,1,106
Alimentaire,41,19.92,4,9,0
Alimentaire,345,11.81,19,1,0
Alimentaire,190,12.55,5,11,0
Outillage,248,89.92,17,11,133
Outillage,241,38.28,8,7,0
Outillage,277,2.17,24,8,0
Outillage,98,85.86,20,1,218
Textile,71,3.76,6,11,0
Textile,17,38.84,22,4,139
Outillage,345,65.14,9,4,0
Alimentaire,89,82.48,15,9,172
Alimentaire,230,64.73,5,12,0
Outillage,181,42.8,6,6,0
Alimentaire,64,87.75,9,7,74
Electronique,165,5.46,15,7,0
Textile,33,88.85,15,4,170
Alimentaire,70,76.75,21,8,216
Outillage,55,83.75,7,12,86
Outillage,329,24.42,19,5,0
Alimentaire,226,14.54,4,10,0
Textile,370,60.37,10,10,0
Outillage,174,47.4,7,11,0
Textile,80,48.04,6,9,1
Electronique,243,83.37,16,12,86
Textile,371,56.57,22,9,9
Textile,213,29.37,18,12,0
Textile,7,37.21,21,9,121
Electronique,121,13.75,16,11,0
Alimentaire,369,18.92,5,11,0
Outillage,207,14.61,11,12,0
Electronique,380,73.31,21,8,51
Alimentaire,203,64.03,4,9,0
Alimentaire,4,48.67,6,12,71
Electronique,349,34.94,21,5,0
Electronique,305,60.83,5,2,0
Alimentaire,286,73.54,24,11,212
Outillage,388,79.55,19,8,72
Electronique,78,50.14,17,6,83
Alimentaire,362,74.15,15,9,54
Electronique,93,46.99,5,1,13
Textile,388,43.76,12,6,0
Alimentaire,76,78.16,20,4,229
Outillage,220,36.0,22,4,50
Textile,315,36.84,13,12,0
Outillage,31,28.83,21,7,84
Textile,26,47.65,20,2,136
Alimentaire,339,49.95,5,5,0
Outillage,24,60.12,17,3,147
Alimentaire,245,39.88,16,11,8
Outillage,375,21.17,15,4,0
Outillage,245,78.28,20,5,161
Textile,192,32.45,22,5,66
Textile,166,83.22,15,3,124
Alimentaire,255,20.25,10,10,0
Outillage,228,51.29,24,7,97
Textile,200,49.22,24,6,99
Outillage,61,74.92,18,5,152
Alimentaire,265,14.22,17,9,0
Outillage,295,82.07,6,2,0
Alimentaire,283,48.77,12,12,0
Electronique,30,53.58,8,7,71
Electronique,281,46.89,14,3,4
Textile,291,5.17,21,7,0
Alimentaire,73,45.74,8,11,0
Electronique,339,25.19,24,3,0
Alimentaire,209,32.16,6,7,0
Textile,188,59.12,6,8,17
Alimentaire,289,45.8,24,10,50
Outillage,203,10.2,6,7,0
Outillage,217,8.43,19,9,0
Textile,124,18.34,20,10,6
Outillage,371,18.8,10,11,0
Alimentaire,387,55.53,5,5,0
Electronique,52,17.65,10,9,0
Electronique,293,79.59,5,3,0
Outillage,9,20.46,18,11,48
Outillage,147,10.02,22,12,0
Textile,387,79.07,24,4,142
Electronique,69,27.99,20,7,74
Alimentaire,150,39.44,20,10,70
Electronique,87,86.39,22,1,246
Electronique,291,85.1,20,9,113
Electronique,185,64.91,17,10,66
Textile,237,8.07,24,11,0
Electronique,377,54.21,10,3,0
Outillage,208,89.04,12,10,87
Alimentaire,293,85.33,23,10,186
Alimentaire,39,11.33,10,1,0
Textile,86,36.85,10,9,0
Outillage,378,29.77,7,8,0
Alimentaire,343,13.42,9,12,0
Electronique,262,63.14,16,1,30
Electronique,151,26.1,22,12,30
Outillage,79,32.35,6,7,1
Electronique,340,9.95,18,4,0
Textile,314,45.82,20,5,34
Alimentaire,96,15.92,22,10,21
Outillage,235,40.02,19,12,0
Electronique,247,14.61,7,4,0
Outillage,190,85.94,14,12,113
Textile,370,14.76,23,8,0
Alimentaire,49,47.93,23,3,204
Electronique,103,19.33,16,8,0
Outillage,38,8.72,24,10,8
Alimentaire,277,19.8,18,1,0
Alimentaire,257,6.82,5,1,0
Alimentaire,394,14.27,23,1,0
Electronique,216,45.43,7,7,0
Alimentaire,60,59.36,11,1,91
Electronique,180,9.69,9,12,0
Electronique,35,40.81,19,2,122
Alimentaire,268,53.15,4,1,0
Electronique,269,22.61,17,4,0
Alimentaire,343,34.74,22,10,0
Outillage,135,8.32,20,11,0
Electronique,124,21.37,10,4,2
Electronique,28,43.07,22,7,110
Electronique,166,89.16,11,10,59
Textile,190,89.67,18,10,169
Alimentaire,301,88.21,14,2,136
Alimentaire,301,39.23,5,11,0
Electronique,56,9.1,4,11,0
Alimentaire,114,30.47,7,9,0
Alimentaire,204,22.92,23,7,18
Alimentaire,134,3.24,24,5,0
Textile,10,10.38,12,11,47
Outillage,338,41.88,24,11,27
Alimentaire,292,31.89,5,7,0
Outillage,208,17.87,24,9,15
Textile,126,65.02,8,5,25
Alimentaire,337,33.43,4,9,0
Electronique,14,76.96,19,2,185
Alimentaire,178,23.21,12,11,0
Textile,320,49.38,10,7,0
Electronique,381,18.2,19,8,0
Outillage,100,45.59,10,3,43
Alimentaire,260,15.42,19,7,0
Outillage,75,16.22,8,1,0
Textile,46,55.88,5,11,36
Alimentaire,141,25.21,10,9,0
Electronique,354,17.17,16,6,0
Textile,275,83.82,8,11,8
Alimentaire,195,5.78,7,10,0
Electronique,113,51.73,19,2,115
Outillage,56,50.25,14,1,55
Alimentaire,108,24.05,13,4,14
Electronique,61,41.84,9,1,11
Alimentaire,74,9.72,4,7,6
Alimentaire,275,65.47,5,7,0
Outillage,53,21.51,18,7,5
Textile,18,19.02,5,1,10
Electronique,216,29.71,9,12,0
Electronique,114,81.41,23,12,187
Textile,181,72.09,11,8,52
Electronique,55,85.33,19,1,174
Alimentaire,83,59.37,11,5,61
Electronique,176,60.34,23,9,101
Electronique,276,44.24,21,9,34
Outillage,165,81.66,13,3,129
Electronique,216,46.96,18,10,51
Electronique,208,33.25,12,12,0
Outillage,107,58.35,23,7,103
Electronique,111,50.06,11,5,46
Outillage,170,12.91,21,7,4
Electronique,12,36.56,16,1,101
Electronique,274,29.57,17,7,0
Electronique,245,76.52,11,1,12
Textile,122,35.34,21,1,58
Textile,149,74.3,19,7,176
Alimentaire,131,40.93,21,7,61
Electronique,260,68.31,20,12,74
Electronique,303,13.9,7,7,0
Textile,43,83.37,22,12,239
Electronique,165,44.29,21,10,38
Textile,5,24.86,9,5,59
Textile,180,23.25,24,12,25
Outillage,99,25.33,15,6,13
Alimentaire,134,34.27,10,8,0
Electronique,182,65.14,8,2,49
Alimentaire,129,85.57,11,3,117
Outillage,157,60.88,4,7,4
Textile,305,50.15,18,4,47
Textile,324,41.48,18,8,0
Alimentaire,2,74.88,18,1,214
Electronique,151,76.77,15,4,140
Outillage,338,27.79,11,8,0
Outillage,212,85.9,19,8,109
Outillage,82,36.77,22,12,97
Outillage,237,72.41,5,11,0
Alimentaire,57,87.08,12,10,117
Alimentaire,8,63.92,24,1,257
Electronique,252,16.22,22,8,0
Outillage,206,53.58,24,3,118
Textile,302,12.45,7,4,0
Alimentaire,137,71.44,13,3,104
Outillage,341,26.76,6,6,0
Textile,168,63.18,22,2,135
Outillage,295,82.09,14,7,83
Outillage,40,17.93,9,2,20
Electronique,38,36.57,5,7,43
Alimentaire,313,58.95,19,8,54
Textile,333,38.93,21,3,0
Outillage,376,17.38,22,2,0
Electronique,129,4.56,24,10,0
Alimentaire,8,37.78,21,9,111
Textile,391,59.13,20,4,57
Outillage,240,52.51,21,11,45
Electronique,98,15.75,24,3,34
Textile,305,41.66,13,12,0
Alimentaire,361,34.51,19,2,9
Electronique,113,26.13,21,8,46
Textile,307,66.18,6,1,0
Alimentaire,315,29.25,18,3,0
Textile,200,49.53,11,5,0
Alimentaire,252,83.24,6,2,35
Outillage,107,49.46,7,6,0
Electronique,371,56.3,6,3,0
Outillage,393,8.45,22,2,0
Electronique,392,17.68,20,12,0
Textile,294,10.88,6,12,0
Alimentaire,16,69.3,17,12,201
Alimentaire,146,75.56,17,2,133
Electronique,177,18.41,14,5,0
Textile,383,21.3,16,4,0
Electronique,218,30.44,23,4,39
Textile,214,54.01,14,5,10
Textile,58,56.72,17,7,89
Outillage,317,62.43,15,6,32
Textile,134,81.66,12,4,122
Alimentaire,36,27.96,22,12,83
Textile,395,59.97,12,12,0
Outillage,76,51.26,20,4,140
Alimentaire,6,28.91,16,3,74
Electronique,31,81.85,18,7,161
Outillage,181,10.4,19,5,0
Electronique,41,64.66,19,12,163
Textile,337,66.05,15,6,40
Electronique,204,82.55,16,1,121
Electronique,129,47.64,14,2,31
Outillage,1,30.3,11,1,62
Electronique,191,74.84,19,5,134
Textile,60,69.83,22,4,205
Textile,391,46.03,18,11,0
Electronique,116,69.57,20,11,128
Electronique,189,25.57,21,2,28
Outillage,7,53.88,11,12,57
